Step,Pretraining_lr-1e-4 - train_step_loss,Downstream_lr-1e-4 - train_step_loss,Pretraining_lr-2e-4 - train_step_loss,Downstream_lr-2e-4 - train_step_loss,Pretraining_lr-3e-4 - train_step_loss,Downstream_lr-3e-4 - train_step_loss
1,0.6925354,0.729217529,0.6925354,0.729217529,0.6925354,0.729217529
2,0.689544678,0.689788818,0.686248779,0.684906006,0.689971924,0.684661865
3,0.677368164,0.6902771,0.683868408,0.718383789,0.694061279,0.723724365
4,0.702209473,0.695098877,0.718231201,0.741119385,0.708251953,0.738616943
5,0.668060303,0.671447754,0.66796875,0.653991699,0.676391602,0.651245117
6,0.73223877,0.717346191,0.720550537,0.710266113,0.711181641,0.688537598
7,0.708068848,0.707855225,0.701202393,0.735137939,0.695739746,0.703155518
8,0.720336914,0.712921143,0.702819824,0.704223633,0.708496094,0.704772949
9,0.694458008,0.714630127,0.682556152,0.681945801,0.678222656,0.690002441
10,0.725280762,0.731811523,0.696380615,0.687347412,0.684509277,0.695251465
11,0.681060791,0.694122314,0.708190918,0.725280762,0.705688477,0.701416016
12,0.679382324,0.667602539,0.721343994,0.714294434,0.698913574,0.697937012
13,0.701843262,0.708496094,0.689575195,0.679290771,0.704650879,0.69744873
14,0.687103271,0.683654785,0.690887451,0.703735352,0.667694092,0.688690186
15,0.691833496,0.683197021,0.682495117,0.707641602,0.672821045,0.679901123
16,0.68939209,0.696655273,0.684082031,0.699462891,0.694732666,0.687988281
17,0.699462891,0.679168701,0.717559814,0.702636719,0.721923828,0.713409424
18,0.687561035,0.699188232,0.705596924,0.703918457,0.70425415,0.718780518
19,0.675964355,0.668579102,0.659759521,0.674926758,0.671356201,0.679412842
20,0.688171387,0.701934814,0.661315918,0.664611816,0.661712646,0.658691406
21,0.69934082,0.69229126,0.722869873,0.714752197,0.71383667,0.723358154
22,0.702026367,0.674377441,0.703399658,0.693725586,0.693969727,0.699584961
23,0.682434082,0.68939209,0.696380615,0.694213867,0.692962646,0.700042725
24,0.66204834,0.633361816,0.63092041,0.646514893,0.665252686,0.657287598
25,0.689880371,0.692749023,0.68057251,0.686553955,0.682312012,0.68536377
26,0.677429199,0.667724609,0.679931641,0.690002441,0.680389404,0.677032471
27,0.702575684,0.699951172,0.688537598,0.711273193,0.687805176,0.696655273
28,0.652740479,0.676452637,0.663818359,0.661865234,0.661071777,0.656433105
29,0.656158447,0.664886475,0.67477417,0.668029785,0.672607422,0.673339844
30,0.734405518,0.746337891,0.723480225,0.716217041,0.731201172,0.725769043
31,0.741577148,0.762298584,0.721832275,0.716003418,0.737365723,0.720153809
32,0.699462891,0.70199585,0.701843262,0.698150635,0.701904297,0.695129395
33,0.726623535,0.749511719,0.688537598,0.708984375,0.711975098,0.700256348
34,0.68270874,0.664825439,0.687927246,0.684265137,0.684326172,0.692871094
35,0.691558838,0.694915771,0.689178467,0.701080322,0.692626953,0.711395264
36,0.691040039,0.693572998,0.687805176,0.679656982,0.699859619,0.692169189
37,0.683288574,0.711212158,0.743438721,0.731689453,0.746734619,0.733703613
38,0.690551758,0.674713135,0.704498291,0.718444824,0.719512939,0.710296631
39,0.690856934,0.687713623,0.68145752,0.695220947,0.684234619,0.694763184
40,0.69519043,0.718322754,0.694091797,0.707214355,0.70111084,0.700134277
41,0.672668457,0.69909668,0.690063477,0.70526123,0.675842285,0.68762207
42,0.69720459,0.711090088,0.692321777,0.697570801,0.685913086,0.687255859
43,0.693359375,0.70803833,0.670043945,0.688293457,0.67376709,0.673431396
44,0.693054199,0.700500488,0.681671143,0.695922852,0.696380615,0.692565918
45,0.690979004,0.704681396,0.691070557,0.698974609,0.698760986,0.700561523
46,0.695861816,0.700042725,0.689453125,0.689483643,0.685638428,0.688201904
47,0.696899414,0.690368652,0.677337646,0.679931641,0.694854736,0.705993652
48,0.69342041,0.692352295,0.734191895,0.723236084,0.732543945,0.731689453
49,0.697601318,0.697814941,0.720474243,0.716644287,0.713104248,0.705596924
50,0.696960449,0.720794678,0.710479736,0.691589355,0.707702637,0.715393066
51,0.698303223,0.702819824,0.692260742,0.716705322,0.70880127,0.702575684
52,0.684814453,0.681976318,0.67755127,0.675506592,0.673522949,0.67779541
53,0.703674316,0.706756592,0.694885254,0.713134766,0.702941895,0.700317383
54,0.678527832,0.670349121,0.705322266,0.67767334,0.706787109,0.705474854
55,0.689147949,0.694152832,0.679473877,0.698120117,0.69644165,0.70010376
56,0.683288574,0.679840088,0.694061279,0.687194824,0.705932617,0.713806152
57,0.664001465,0.644714355,0.703674316,0.675720215,0.720489502,0.721618652
58,0.68572998,0.691864014,0.674377441,0.70098877,0.698852539,0.691650391
59,0.663757324,0.672668457,0.680969238,0.690185547,0.693847656,0.691589355
60,0.654693604,0.643554688,0.646087646,0.671020508,0.66607666,0.661560059
61,0.682373047,0.688110352,0.662872314,0.673675537,0.672210693,0.676239014
62,0.721740723,0.724151611,0.745239258,0.70703125,0.733734131,0.743347168
63,0.649963379,0.656524658,0.653625488,0.660491943,0.647369385,0.644134521
64,0.654083252,0.669586182,0.655838013,0.663574219,0.660690308,0.664993286
65,0.685974121,0.68661499,0.673065186,0.673583984,0.686660767,0.682388306
66,0.663421631,0.669967651,0.667892456,0.66708374,0.676940918,0.670288086
67,0.666381836,0.667877197,0.673233032,0.676193237,0.69708252,0.70275116
68,0.651245117,0.64755249,0.634246826,0.640838623,0.641494751,0.649841309
69,0.721862793,0.713897705,0.747436523,0.727142334,0.74230957,0.739990234
70,0.672821045,0.668518066,0.682189941,0.671478271,0.682403564,0.678436279
